household_id,util_drivers_2,util_drivers_3,util_drivers_4_up,util_persons_16_17,util_persons_18_24,util_persons_25_34,util_presence_children_0_4,util_presence_children_5_17,util_num_workers_clip_3,util_hh_income_0_30k,util_hh_income_30_75k,util_hh_income_75k_up,util_density_0_10_no_workers,util_density_10_up_no_workers,util_density_0_10_workers,util_density_10_up_workers,util_asc,util_asc_san_francisco,util_asc_solano,util_asc_napa,util_asc_sonoma,util_asc_marin,util_retail_auto_no_workers,util_retail_auto_workers,util_retail_transit_no_workers,util_retail_transit_workers,util_retail_non_motor_no_workers,util_retail_non_motor_workers,util_auto_time_saving_per_worker
2370945,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0,30.0,45.0,50.0,0.0,0.0,6.049070544844516,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,9.808293342590332,0.0,6.472705841064453,0.0,6.266167163848877,0.33513253927230835
590020,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,0.0,0.0,10.0,5.107993544916621,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,9.77778434753418,0.0,6.295097351074219,0.0,6.230361461639404,0.0,0.0
258654,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,2.0,27.65,0.0,0.0,0.0,0.0,10.0,0.8752327746741155,1.0,1.0,0.0,0.0,0.0,0.0,0.0,9.86678409576416,0.0,6.56385612487793,0.0,6.214362144470215,0.5276225805282593
115213,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,10.0,0.0,0.0,0.0,0.0,10.0,16.093915755057605,1.0,1.0,0.0,0.0,0.0,0.0,0.0,9.91113567352295,0.0,6.959222316741943,0.0,7.244861125946045,0.27253085374832153
567570,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.0,0.0,0.0,10.0,69.66360880593872,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,10.164687156677246,0.0,7.829665184020996,0.0,7.901368141174316,0.0,0.0
230049,1.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,1.0,14.0,0.0,0.0,0.0,0.0,7.975024497779427,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,9.741728782653809,0.0,6.457957744598389,0.0,6.299607276916504,0.5766183137893677
2223402,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,30.0,45.0,50.0,0.0,0.0,10.0,35.017850590412394,1.0,1.0,0.0,0.0,0.0,0.0,0.0,10.17597770690918,0.0,7.8163652420043945,0.0,8.326896667480469,0.2144950032234192
28547,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,35.017850590412394,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,10.17597770690918,0.0,7.8163652420043945,0.0,8.326896667480469,0.0,0.0
1602899,1.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,2.0,30.0,45.0,1.5,0.0,0.0,9.885767488105776,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,9.93909740447998,0.0,6.903595924377441,0.0,6.343830585479736,0.30182087421417236
584757,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.8,0.0,0.0,9.885767488105776,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,9.93909740447998,0.0,6.903595924377441,0.0,6.343830585479736,0.0,0.0
